i0:(s12,s7,s8,s2,s1,s0,s3,s6,s14,s5,s13,s10,s9,s11,s4)
i1:(s12,s9,s11,s3,s2,s10,s7,s4,s1,s5,s14,s0,s8,s6,s13)
i2:(s6,s8,s7,s4,s2,s0,s14,s13,s10,s12,s9,s11,s5,s3,s1)
i3:(s13,s6,s11,s0,s1,s8,s3,s2,s14,s9,s5,s7,s12,s4,s10)
i4:(s10,s9,s3,s11,s13,s8,s4,s0,s6,s5,s12,s7,s2,s1,s14)
i5:(s1,s2,s11,s6,s10,s0,s5,s4,s7,s14,s3,s8,s13,s9,s12)
i6:(s2,s11,s12,s9,s13,s5,s8,s0,s1,s4,s10,s7,s6,s3,s14)
i7:(s5,s11,s7,s0,s10,s9,s12,s3,s13,s4,s6,s2,s14,s1,s8)
i8:(s2,s0,s11,s6,s3,s9,s13,s10,s14,s12,s5,s1,s7,s8,s4)
i9:(s4,s3,s14,s12,s0,s1,s6,s5,s8,s10,s7,s9,s2,s11,s13)
i10:(s14,s13,s12,s2,s0,s5,s10,s4,s8,s9,s7,s11,s3,s1,s6)
i11:(s10,s12,s8,s2,s6,s1,s11,s3,s9,s14,s7,s13,s0,s4,s5)
i12:(s3,s1,s9,s6,s12,s0,s14,s8,s10,s11,s5,s2,s13,s4,s7)
i13:(s11,s7,s14,s6,s9,s2,s3,s8,s10,s13,s0,s12,s1,s5,s4)
i14:(s7,s11,s4,s14,s2,s10,s5,s9,s6,s12,s8,s0,s1,s3,s13)
s0:(1,i6,i5,i14,i10,i13,i9,i12,i2,i4,i7,i1,i8,i3,i0,i11)
s1:(1,i14,i9,i0,i13,i3,i6,i11,i12,i10,i7,i1,i4,i8,i5,i2)
s2:(1,i7,i13,i14,i3,i9,i10,i4,i8,i0,i5,i11,i2,i12,i6,i1)
s3:(1,i14,i1,i11,i13,i3,i0,i10,i7,i2,i12,i4,i9,i8,i5,i6)
s4:(1,i7,i8,i13,i1,i6,i12,i3,i2,i10,i11,i9,i5,i4,i0,i14)
s5:(1,i14,i1,i4,i0,i11,i2,i13,i3,i6,i12,i5,i10,i7,i9,i8)
s6:(1,i9,i6,i10,i4,i14,i11,i2,i8,i0,i13,i12,i3,i1,i5,i7)
s7:(1,i6,i10,i8,i7,i13,i14,i0,i11,i9,i3,i2,i5,i4,i12,i1)
s8:(1,i14,i8,i12,i0,i7,i13,i2,i4,i6,i9,i1,i10,i5,i3,i11)
s9:(1,i7,i9,i4,i11,i3,i6,i14,i13,i0,i5,i1,i8,i2,i12,i10)
s10:(1,i12,i7,i10,i9,i6,i0,i3,i4,i11,i1,i8,i14,i2,i5,i13)
s11:(1,i9,i1,i3,i11,i6,i7,i8,i12,i4,i5,i2,i13,i14,i10,i0)
s12:(1,i11,i7,i14,i3,i12,i10,i8,i4,i6,i0,i2,i1,i13,i9,i5)
s13:(1,i5,i4,i11,i2,i13,i9,i1,i7,i10,i14,i6,i3,i8,i0,i12)
s14:(1,i5,i2,i12,i8,i4,i14,i13,i3,i6,i9,i0,i1,i10,i11,i7)
